productname,productid,imagepath
Rau cải ngồng ,7abda2b1-1aa6-4e94-954f-574a7a9b5c7b,productImage/7abda2b1-1aa6-4e94-954f-574a7a9b5c7b_Raucảingồng.jpg
Rau húng quế,c35ac233-cca3-4666-86b8-afaa54d074ba,productImage/c35ac233-cca3-4666-86b8-afaa54d074ba_Rauhúngquế.jpg
Hành củ,8f8b3419-d960-40d0-b8a2-e93a3aa6e029,productImage/8f8b3419-d960-40d0-b8a2-e93a3aa6e029_Hànhcủ.jpg
Củ đậu,9c679bd2-a436-4dc5-8419-e7869190adf7,productImage/9c679bd2-a436-4dc5-8419-e7869190adf7_Củđậu.jpg
Giá đỗ,0552d60c-8b38-4dd5-95be-c152645c4d5a,productImage/0552d60c-8b38-4dd5-95be-c152645c4d5a_Giáđỗ.jpg
Chanh không hạt,e507ce8a-6599-4816-98c9-54b2bcbe50cf,productImage/e507ce8a-6599-4816-98c9-54b2bcbe50cf_Chanhkhônghạt.jpg
Dâu tây,55937f90-5b80-48f0-aa99-29562a04e141,productImage/55937f90-5b80-48f0-aa99-29562a04e141_Dâutây.jpg
Ớt hiểm,e5a5a0d4-1de7-403f-8464-34ee1ba1416e,productImage/e5a5a0d4-1de7-403f-8464-34ee1ba1416e_Ớthiểm.jpg
Riềng,7fcba7ba-7f74-4287-bfab-efab930514fa,productImage/7fcba7ba-7f74-4287-bfab-efab930514fa_Riềng.jpg
Sả cây,10ba22c6-04ff-459a-b8a4-b0d2e0438956,productImage/10ba22c6-04ff-459a-b8a4-b0d2e0438956_Sảcây.jpg
Su su,ac9cf104-d861-4f46-83ff-b218f1ee1f89,productImage/ac9cf104-d861-4f46-83ff-b218f1ee1f89_Susu.jpg
Ớt xiêm xanh,0704609b-65b9-4ca9-857d-b9f5ed9ef750,productImage/0704609b-65b9-4ca9-857d-b9f5ed9ef750_Ớtxiêmxanh.jpg
Khoai môn,ad8f9da9-7062-472e-9893-52a4c999a664,productImage/ad8f9da9-7062-472e-9893-52a4c999a664_Khoaimôn.jpg
Khoai mỡ,d70d9dbd-eb54-4888-875f-4da384a5a0a5,productImage/d70d9dbd-eb54-4888-875f-4da384a5a0a5_Khoaimỡ.jpg
Nấm hương,bb049c61-90d8-409c-ab84-baa8444a4fe0,productImage/bb049c61-90d8-409c-ab84-baa8444a4fe0_Nấmhương.jpg
Nấm đùi gà,aee7e386-fe84-4b16-8b65-4d844e686ce5,productImage/aee7e386-fe84-4b16-8b65-4d844e686ce5_Nấmđùigà.jpg
Bắp tím,201ba376-2945-4e67-a5da-bc72e08ce70d,productImage/201ba376-2945-4e67-a5da-bc72e08ce70d_Bắptím.jpg
Nấm mèo đen,124b6214-1b3a-4649-9f0d-b9c690a70e66,productImage/124b6214-1b3a-4649-9f0d-b9c690a70e66_Nấmmèođen.jpg
Rau lang,a85e7c1e-115f-4f55-a4e5-dd6ce73fd290,productImage/a85e7c1e-115f-4f55-a4e5-dd6ce73fd290_Raulang.jpg
Xà lách xoong,db3696a1-0136-4c07-a4cb-a206e724cfe6,productImage/db3696a1-0136-4c07-a4cb-a206e724cfe6_Xàláchxoong.jpg
Chanh đào,2d02e101-5ee9-41ec-b347-a971001b5977,productImage/2d02e101-5ee9-41ec-b347-a971001b5977_Chanhđào.jpg
Rau diếp cá,b9e205bb-0b77-427d-a59d-008eaee578ca,productImage/b9e205bb-0b77-427d-a59d-008eaee578ca_Raudiếpcá.jpg
Bắp cải,485a8f26-f2fe-4e74-9c0f-7f16bf65a9e8,productImage/485a8f26-f2fe-4e74-9c0f-7f16bf65a9e8_Bắpcải.jpg
Cải ngọt,0adf1bbd-9d32-43a9-a6af-e1ba5ddbdf4e,productImage/0adf1bbd-9d32-43a9-a6af-e1ba5ddbdf4e_Cảingọt.jpg
Mướp hương,ec2fa345-6c98-4539-818b-019518468e46,productImage/ec2fa345-6c98-4539-818b-019518468e46_Mướphương.jpg
Cà tím,b86b17df-2a9c-4b26-9238-5f5e966ddae4,productImage/b86b17df-2a9c-4b26-9238-5f5e966ddae4_Càtím.jpg
Nấm đông cô,177968e0-43e0-4917-95b2-64f6e26d2e25,productImage/177968e0-43e0-4917-95b2-64f6e26d2e25_Nấmđôngcô.jpg
Rau húng quế,301d330c-7c93-4d98-afe6-f495b8f38552,productImage/301d330c-7c93-4d98-afe6-f495b8f38552_Rauhúngquế.jpg
Rau húng quế,4f375901-b00e-49e5-9c77-eb0a598dd6ba,productImage/4f375901-b00e-49e5-9c77-eb0a598dd6ba_Rauhúngquế.jpg
Bí Xanh,063c670e-811e-4b5a-93ff-89c1af30ef33,productImage/063c670e-811e-4b5a-93ff-89c1af30ef33_BíXanh.jpg
Cam sành,92527e2a-ed91-4d1e-bede-46028b75a1a3,productImage/92527e2a-ed91-4d1e-bede-46028b75a1a3_Camsành.jpg
Khoai tây,9713b024-ec7a-4d46-a57a-29842c4df02e,productImage/9713b024-ec7a-4d46-a57a-29842c4df02e_Khoaitây.jpg
Cà rốt đỏ,7148f50f-8161-499d-8447-25a280ca2bbd,productImage/7148f50f-8161-499d-8447-25a280ca2bbd_Càrốtđỏ.jpg
Cải Bẹ Xanh,edeb67be-7462-4217-933a-328ca1ce611a,productImage/edeb67be-7462-4217-933a-328ca1ce611a_CảiBẹXanh.jpg
Rau mồng tơi,bfa825ec-c0dc-4cb7-8e71-e56351a93406,productImage/bfa825ec-c0dc-4cb7-8e71-e56351a93406_Raumồngtơi.jpg
Rau mồng tơi,75e094a1-bd7c-4dd9-a8c9-e4e28ac625bb,productImage/75e094a1-bd7c-4dd9-a8c9-e4e28ac625bb_Raumồngtơi.jpg
